id,created_at,text,,,,
1.50E+18,2022-03-11T00:15:22.000Z,@b_m0rt @Amp_Trades @elkwood66 works him too hard,,,,
1.50E+18,2022-03-10T15:36:48.000Z,https://t.co/tMpqKmqf0K,,,,
1.50E+18,2022-03-09T14:11:50.000Z,"CEO of $DKNG tweet, maybe the FT $DIS has legs https://t.co/IpHgmxMHKB",,,,
1.50E+18,2022-03-08T13:31:34.000Z,"$DKNG
=======
,text,id,created_at,author_id,tokens
0,@b_m0rt @Amp_Trades @elkwood66 works him too hard,1502075671970992133,2022-03-11T00:15:22.000Z,62562916,['bmrt'", 'work', 'him', 'too'," 'hard']"""
1.50E+18,2022-03-10T15:36:48.000Z,https://t.co/tMpqKmqf0K,,,,
1.50E+18,2022-03-09T14:11:50.000Z,"CEO of $DKNG tweet, maybe the FT $DIS has legs https://t.co/IpHgmxMHKB",,,,
1.50E+18,2022-03-07T01:50:40.000Z,"This puts it all in perspective.
Although you left out the cryin' Bill theory https://t.co/qRj20vJBis",,,,
1.50E+18,2022-03-07T00:08:53.000Z,"Ryan Cohen, chairman on $GME takes a 9.9% stake in $BBBY

https://t.co/4V7ObXqTmy",,,,
1.50E+18,2022-03-08T13:31:34.000Z,62562916,,,,
1.50E+18,2022-03-07T01:50:40.000Z,"This puts it all in perspective.
Although you left out the cryin' Bill theory https://t.co/qRj20vJBis",,,,
1.50E+18,2022-03-07T00:08:53.000Z,"Ryan Cohen, chairman on $GME takes a 9.9% stake in $BBBY

https://t.co/4V7ObXqTmy",,,,
